순위,책이름,저자,출판사,출판일,원가,할인가,리뷰평점
98,이기적 유전자,리처드 도킨스,을유문화사,20230130,20000,18000,9.59
99,히카루가 죽은 여름 4,모쿠모쿠 렌,디앤씨미디어,20240720,6000,5400,9.55
100,지도로 보아야 보인다,에밀리 오브리 외,사이,20240730,29800,26820,9.73
101,어떻게 극단적 소수가 다수를 지배하는가,스티븐 레비츠키 외,어크로스,20240521,22000,19800,9.53
102,흐르는 강물처럼,셸리 리드,다산책방,20240108,17000,15300,9.87
103,탕비실,이미예,한끼,20240710,14000,12600,9.53
104,원칙으로 수익 내는 단타의 기술,원정연(만쥬),길벗,20240531,22000,19800,9.5
105,퓨처 셀프,벤저민 하디,상상스퀘어,20230830,19800,17820,9.53
106,캐릭온TV 허징의 수상한 만물상점 1,캐릭온TV,대원키즈,20240718,14500,13050,10
107,부자 아빠 가난한 아빠 1(20주년 특별 기념판),로버트 기요사키,민음인,20221028,17000,15300,9.65
108,이처럼 사소한 것들,클레어 키건,다산책방,20231127,13800,12420,9.66
109,강인함의 힘,스티브 매그니스,상상스퀘어,20240327,22000,19800,9.73
110,봇치ㆍ더ㆍ록! 앤솔러지 코믹 2,하마지 아키 외,대원씨아이,20240731,9000,8100,0
111,말의 품격(7주년 기념 플라워 에디션),이기주,황소북스,20170529,18500,16650,9.2
112,소맥거핀의 인체 친구들 1: 몸속 기관들의 대혼란,소맥거핀,위즈덤하우스,20240731,14800,13320,9.67
113,마녀와의 7일,히가시노 게이고,현대문학,20240625,18800,16920,9.8
114,빨간내복야코 3,빨간내복야코,샌드박스스토리,20240621,15000,13500,9.74
115,말하지 않으면 인생은 바뀌지 않는다,샘 혼,서삼독,20240516,20000,18000,9.37
116,3분 철학 3: 서양 현대 철학편,김재훈 외,카시오페아,20220509,16800,15120,9.73
117,말하기 고수들만 아는 대화의 기술,기류 미노루,더페이지,20240820,18800,16920,9.81
118,불안,알랭 드 보통,은행나무,20120104,15000,13500,9.55
119,하루 한 장 초등 경제 신문,윤지선 외,매경주니어북스,20240703,18000,16200,9.85
120,달리기를 말할 때 내가 하고 싶은 이야기,무라카미 하루키,문학사상,20161215,14500,13050,9.69
121,꽃을 보듯 너를 본다,나태주,지혜,20201130,11000,9900,9.65
122,대저택의 어둠을 부르는 책,집사TV,서울문화사,20240628,14000,12600,10
123,행동력 수업,오현호,스카이마인드,20240710,19800,17820,10
124,세상의 마지막 기차역(리커버 에디션),무라세 다케시,모모,20220509,14000,12600,9.66
125,버리는 기쁨 다시 찾은 행복,마스노 ㅤㅅㅠㄴ묘,지니의서재,20240821,17800,16020,10
126,이상한 과자 가게 전천당: 마네키네코 도감,히로시마 레이코,길벗스쿨,20240729,15000,13500,9.73
127,대화의 힘,찰스 두히그,갤리온,20240625,19000,17100,9.81
128,읽으면서 바로 써먹는 어린이 세계 여행,한날,파란정원,20240105,13000,11700,9.82
129,사피엔스 그래픽 히스토리 3: 역사의 배후,유발 하라리,김영사,20240419,19800,17820,10
130,원펀맨 30,ONE,대원씨아이,20240831,5500,4950,9.55
131,저는 브랜딩을 하는 사람입니다,허준,필름(Feelm),20240522,18500,16650,9.23
132,who? special 이강인,이혜원,다산어린이,20240628,15000,13500,9.67
133,임신 출산 육아 대백과(2024-2025),삼성출판사 편집부,삼성출판사,20240715,19500,17550,10
134,옐언니 3,옐언니,아울북,20240724,15800,14220,10
135,늪 100층짜리 집,이와이 도시오,북뱅크,20240503,15000,13500,9.73
136,흔한남매 과학 탐험대 10: 생태계,흔한남매,주니어김영사,20240522,14800,13320,9.9
137,파친코(합본 한정판),이민진,인플루엔셜,20231220,27000,24300,9.62
138,언젠가 우리가 같은 별을 바라본다면,차인표,해결책,20211215,12000,10800,9.86
139,괴수 8호 side B 1,Naoya Matsumoto 외,서울미디어코믹스(서울문화사),20240725,6000,5400,9.8
140,설민석의 삼국지 대모험 18: 적벽대전 1.전쟁의 시작,단꿈아이,단꿈아이,20240729,12000,10800,9.79
