행정구역(시군구)별(1),행정구역(시군구)별(2),총인구수 (명),남자인구수 (명),여자인구수 (명)
충청남도,　　　천안시,"652,845","332,818","320,027"
충청남도,　　　동남구,"259,416","131,605","127,811"
충청남도,　　　서북구,"393,429","201,213","192,216"
충청남도,　　　공주시,"106,294","53,252","53,042"
충청남도,　　　보령시,"100,908","51,031","49,877"
충청남도,　　　아산시,"314,238","162,713","151,525"
충청남도,　　　서산시,"174,663","90,387","84,276"
충청남도,　　　논산시,"118,781","59,429","59,352"
충청남도,　　　계룡시,"42,735","21,250","21,485"
충청남도,　　　금산군,"52,120","26,240","25,880"
충청남도,　　　부여군,"66,676","33,011","33,665"
충청남도,　　　서천군,"52,702","26,045","26,657"
충청남도,　　　청양군,"31,577","15,937","15,640"
충청남도,　　　홍성군,"100,347","49,896","50,451"
충청남도,　　　예산군,"79,126","39,721","39,405"
충청남도,　　　태안군,"62,628","31,623","31,005"
전라북도,소계,"1,817,302","903,385","913,917"
전라북도,　　　전주시,"654,963","322,524","332,439"
전라북도,　　　완산구,"338,977","165,234","173,743"
전라북도,　　　덕진구,"315,986","157,290","158,696"
전라북도,　　　군산시,"269,779","136,268","133,511"
전라북도,　　　익산시,"286,997","142,991","144,006"
전라북도,　　　정읍시,"110,310","54,624","55,686"
전라북도,　　　남원시,"81,439","39,877","41,562"
전라북도,　　　김제시,"83,803","41,594","42,209"
전라북도,　　　완주군,"92,171","47,293","44,878"
전라북도,　　　진안군,"25,681","12,973","12,708"
전라북도,　　　무주군,"24,271","12,058","12,213"
전라북도,　　　장수군,"22,382","11,141","11,241"
전라북도,　　　임실군,"28,446","14,457","13,989"
전라북도,　　　순창군,"28,311","13,737","14,574"
전라북도,　　　고창군,"55,604","27,439","28,165"
전라북도,　　　부안군,"53,145","26,409","26,736"
전라남도,소계,"1,864,712","935,962","928,750"
전라남도,　　　목포시,"229,744","114,506","115,238"
전라남도,　　　여수시,"282,356","143,642","138,714"
전라남도,　　　순천시,"281,014","140,119","140,895"
전라남도,　　　나주시,"114,671","57,696","56,975"
전라남도,　　　광양시,"153,335","79,710","73,625"
전라남도,　　　담양군,"46,443","23,666","22,777"
전라남도,　　　곡성군,"28,773","14,067","14,706"
전라남도,　　　구례군,"26,214","12,751","13,463"
전라남도,　　　고흥군,"64,851","31,428","33,423"
전라남도,　　　보성군,"41,398","20,049","21,349"
전라남도,　　　화순군,"62,642","31,001","31,641"
전라남도,　　　장흥군,"38,489","18,667","19,822"
전라남도,　　　강진군,"35,226","16,928","18,298"
전라남도,　　　해남군,"70,212","34,599","35,613"
전라남도,　　　영암군,"54,484","27,993","26,491"
전라남도,　　　무안군,"81,144","40,675","40,469"
전라남도,　　　함평군,"32,785","16,371","16,414"
전라남도,　　　영광군,"53,835","26,816","27,019"
전라남도,　　　장성군,"45,625","23,409","22,216"
전라남도,　　　완도군,"50,630","25,430","25,200"
전라남도,　　　진도군,"30,685","15,096","15,589"
전라남도,　　　신안군,"40,156","21,343","18,813"
경상북도,소계,"2,662,508","1,340,346","1,322,162"
경상북도,　　　포항시,"506,494","255,926","250,568"
경상북도,　　　남구,"235,006","120,990","114,016"
경상북도,　　　북구,"271,488","134,936","136,552"
경상북도,　　　경주시,"255,253","127,829","127,424"
경상북도,　　　김천시,"140,991","70,637","70,354"
경상북도,　　　안동시,"159,844","79,122","80,722"
경상북도,　　　구미시,"419,761","215,196","204,565"
경상북도,　　　영주시,"104,985","52,016","52,969"
경상북도,　　　영천시,"102,163","51,918","50,245"
경상북도,　　　상주시,"99,814","48,984","50,830"
경상북도,　　　문경시,"71,889","35,202","36,687"
경상북도,　　　경산시,"263,229","132,584","130,645"
경상북도,　　　군위군,"23,821","12,150","11,671"
경상북도,　　　의성군,"52,674","25,792","26,882"
경상북도,　　　청송군,"25,439","12,715","12,724"
경상북도,　　　영양군,"16,999","8,422","8,577"
경상북도,　　　영덕군,"37,233","17,704","19,529"
경상북도,　　　청도군,"42,923","21,058","21,865"
경상북도,　　　고령군,"32,296","16,510","15,786"
경상북도,　　　성주군,"43,975","22,709","21,266"
경상북도,　　　칠곡군,"116,772","60,910","55,862"
경상북도,　　　예천군,"55,192","27,066","28,126"
경상북도,　　　봉화군,"32,052","16,119","15,933"
경상북도,　　　울진군,"49,188","24,587","24,601"
경상북도,　　　울릉군,"9,521","5,190","4,331"
경상남도,소계,"3,361,344","1,691,504","1,669,840"
경상남도,　　　창원시,"1,044,579","529,176","515,403"
경상남도,　　　의창구,"260,206","132,348","127,858"
경상남도,　　　성산구,"219,933","112,345","107,588"
경상남도,　　　마산합포구,"177,026","88,078","88,948"
경상남도,　　　마산회원구,"193,975","97,511","96,464"
경상남도,　　　진해구,"193,439","98,894","94,545"
경상남도,　　　진주시,"347,489","171,917","175,572"
경상남도,　　　통영시,"131,089","65,897","65,192"
경상남도,　　　사천시,"111,845","56,399","55,446"
경상남도,　　　김해시,"542,713","274,438","268,275"
경상남도,　　　밀양시,"105,459","51,578","53,881"
경상남도,　　　거제시,"248,130","130,147","117,983"
경상남도,　　　양산시,"351,168","176,291","174,877"
경상남도,　　　의령군,"27,131","13,223","13,908"
경상남도,　　　함안군,"65,491","33,120","32,371"
경상남도,　　　창녕군,"62,182","30,945","31,237"
경상남도,　　　고성군,"52,204","26,174","26,030"
경상남도,　　　남해군,"43,539","20,939","22,600"
경상남도,　　　하동군,"46,331","23,037","23,294"
경상남도,　　　산청군,"35,336","17,300","18,036"
경상남도,　　　함양군,"39,555","19,058","20,497"
경상남도,　　　거창군,"62,049","30,275","31,774"
경상남도,　　　합천군,"45,054","21,590","23,464"
제주특별자치도,소계,"670,749","337,231","333,518"
제주특별자치도,　　　제주시,"489,202","245,389","243,813"
제주특별자치도,　　　서귀포시,"181,547","91,842","89,705"
